
Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 13:48:23 2022
Timers Off: Wed Jul 20 13:48:31 2022

Wall Time:        8.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form S/X                        :      0.017u      0.000s      0.005w     24 calls
HF: Guess                           :      0.817u      0.050s      0.257w     24 calls
| SAD Guess                         :      0.750u      0.050s      0.245w     21 calls
HF: Form G                          :      0.133u      0.000s      0.047w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.133u      0.000s      0.043w    208 calls
| | DFH: compute_JK()               :      0.133u      0.000s      0.043w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.034w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.333u      0.017s      0.100w    187 calls
| DIISManager::add_entry            :      0.000u      0.017s      0.010w    184 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.008w    184 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.167u      0.000s      0.042w    187 calls
Grad: V T Perturb                   :      1.467u      0.017s      0.476w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.133u      0.117s      0.716w     24 calls
| JKGrad: Amn                       :      0.567u      0.050s      0.188w     24 calls
| | Libint2ERI::Libint2ERI          :      0.217u      0.033s      0.090w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.367u      0.033s      0.101w     24 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.000s      0.017w     24 calls
| JKGrad: ABx                       :      0.067u      0.000s      0.037w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.950u      0.017s      0.297w     24 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.084w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 13:57:44 2022
Timers Off: Wed Jul 20 13:57:51 2022

Wall Time:        7.07 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.233u      0.000s      0.095w     24 calls
Libint2ERI::Libint2ERI              :      0.783u      0.000s      0.282w    288 calls
DFH: initialize()                   :      0.917u      0.067s      0.297w     24 calls
DFH: AO Construction                :      0.217u      0.017s      0.070w     24 calls
DFH: AO-Met. Contraction            :      0.133u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.083u      0.000s      0.031w     24 calls
HF: Form S/X                        :      0.050u      0.000s      0.005w     24 calls
HF: Guess                           :      0.800u      0.050s      0.252w     24 calls
SAD Guess                           :      0.750u      0.050s      0.241w     21 calls
HF: Form G                          :      0.200u      0.000s      0.048w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.200u      0.000s      0.044w    208 calls
DFH: compute_JK()                   :      0.200u      0.000s      0.044w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.167u      0.000s      0.035w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.383u      0.067s      0.100w    187 calls
DIISManager::add_entry              :      0.033u      0.017s      0.011w    184 calls
DIISManager::extrapolate            :      0.017u      0.033s      0.008w    184 calls
bMatrix setup                       :      0.000u      0.000s      0.003w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.133u      0.000s      0.044w    187 calls
Grad: V T Perturb                   :      1.567u      0.017s      0.468w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.000u      0.067s      0.651w     24 calls
JKGrad: Amn                         :      0.533u      0.000s      0.178w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.333u      0.000s      0.101w     24 calls
JKGrad: UV                          :      0.017u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.150u      0.000s      0.037w     24 calls
JKGrad: Amnx                        :      0.917u      0.017s      0.304w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.233u      0.000s      0.095w     24 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.066w     24 calls
DFH: initialize()                   :      0.917u      0.067s      0.297w     24 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.042w     72 calls
| DFH: AO Construction              :      0.217u      0.017s      0.070w     24 calls
| DFH: AO-Met. Contraction          :      0.133u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.083u      0.000s      0.031w     24 calls
HF: Form S/X                        :      0.050u      0.000s      0.005w     24 calls
HF: Guess                           :      0.800u      0.050s      0.252w     24 calls
| SAD Guess                         :      0.750u      0.050s      0.241w     21 calls
HF: Form G                          :      0.200u      0.000s      0.048w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.200u      0.000s      0.044w    208 calls
| | DFH: compute_JK()               :      0.200u      0.000s      0.044w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.167u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.383u      0.067s      0.100w    187 calls
| DIISManager::add_entry            :      0.033u      0.017s      0.011w    184 calls
| DIISManager::extrapolate          :      0.017u      0.033s      0.008w    184 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.133u      0.000s      0.044w    187 calls
Grad: V T Perturb                   :      1.567u      0.017s      0.468w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.000u      0.067s      0.651w     24 calls
| JKGrad: Amn                       :      0.533u      0.000s      0.178w     24 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.000s      0.086w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.333u      0.000s      0.101w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.150u      0.000s      0.037w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.917u      0.017s      0.304w     24 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.086w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:00:24 2022
Timers Off: Wed Jul 20 14:00:31 2022

Wall Time:        6.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.217u      0.000s      0.093w     24 calls
Libint2ERI::Libint2ERI              :      0.833u      0.017s      0.282w    288 calls
DFH: initialize()                   :      0.933u      0.033s      0.304w     24 calls
DFH: AO Construction                :      0.167u      0.000s      0.073w     24 calls
DFH: AO-Met. Contraction            :      0.133u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.100u      0.017s      0.030w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     24 calls
HF: Guess                           :      0.783u      0.033s      0.250w     24 calls
SAD Guess                           :      0.717u      0.033s      0.238w     21 calls
HF: Form G                          :      0.183u      0.000s      0.048w    208 calls
JK: D                               :      0.017u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.150u      0.000s      0.044w    208 calls
DFH: compute_JK()                   :      0.150u      0.000s      0.044w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.033u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.117u      0.000s      0.035w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.300u      0.017s      0.100w    187 calls
DIISManager::add_entry              :      0.017u      0.017s      0.010w    184 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.008w    184 calls
bMatrix setup                       :      0.000u      0.000s      0.003w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.100u      0.000s      0.042w    187 calls
Grad: V T Perturb                   :      1.600u      0.017s      0.477w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.017u      0.150s      0.644w     24 calls
JKGrad: Amn                         :      0.550u      0.017s      0.176w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.300u      0.000s      0.100w     24 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.167u      0.000s      0.037w     24 calls
JKGrad: Amnx                        :      0.933u      0.000s      0.299w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.217u      0.000s      0.093w     24 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.064w     24 calls
DFH: initialize()                   :      0.933u      0.033s      0.304w     24 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.042w     72 calls
| DFH: AO Construction              :      0.167u      0.000s      0.073w     24 calls
| DFH: AO-Met. Contraction          :      0.133u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.100u      0.017s      0.030w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     24 calls
HF: Guess                           :      0.783u      0.033s      0.250w     24 calls
| SAD Guess                         :      0.717u      0.033s      0.238w     21 calls
HF: Form G                          :      0.183u      0.000s      0.048w    208 calls
| JK: D                             :      0.017u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.150u      0.000s      0.044w    208 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.044w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.300u      0.017s      0.100w    187 calls
| DIISManager::add_entry            :      0.017u      0.017s      0.010w    184 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.008w    184 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.100u      0.000s      0.042w    187 calls
Grad: V T Perturb                   :      1.600u      0.017s      0.477w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.017u      0.150s      0.644w     24 calls
| JKGrad: Amn                       :      0.550u      0.017s      0.176w     24 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.017s      0.087w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.300u      0.000s      0.100w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.167u      0.000s      0.037w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.933u      0.000s      0.299w     24 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.086w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:10:46 2022
Timers Off: Wed Jul 20 14:10:52 2022

Wall Time:        6.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.167u      0.000s      0.085w     24 calls
Libint2ERI::Libint2ERI              :      0.733u      0.000s      0.269w    288 calls
DFH: initialize()                   :      0.950u      0.083s      0.297w     24 calls
DFH: AO Construction                :      0.150u      0.000s      0.073w     24 calls
DFH: AO-Met. Contraction            :      0.133u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.167u      0.000s      0.029w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     24 calls
HF: Guess                           :      0.717u      0.067s      0.254w     24 calls
SAD Guess                           :      0.717u      0.067s      0.242w     21 calls
HF: Form G                          :      0.300u      0.000s      0.047w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.267u      0.000s      0.043w    208 calls
DFH: compute_JK()                   :      0.267u      0.000s      0.043w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.267u      0.000s      0.034w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.300u      0.017s      0.104w    187 calls
DIISManager::add_entry              :      0.033u      0.000s      0.013w    184 calls
DIISManager::extrapolate            :      0.050u      0.017s      0.009w    184 calls
bMatrix setup                       :      0.000u      0.017s      0.004w    184 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.002w    184 calls
New vector                          :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.150u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.567u      0.033s      0.475w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.000u      0.083s      0.628w     24 calls
JKGrad: Amn                         :      0.483u      0.000s      0.173w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.367u      0.017s      0.100w     24 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.133u      0.000s      0.036w     24 calls
JKGrad: Amnx                        :      0.983u      0.017s      0.287w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.167u      0.000s      0.085w     24 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.056w     24 calls
DFH: initialize()                   :      0.950u      0.083s      0.297w     24 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.041w     72 calls
| DFH: AO Construction              :      0.150u      0.000s      0.073w     24 calls
| DFH: AO-Met. Contraction          :      0.133u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.167u      0.000s      0.029w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w     24 calls
HF: Guess                           :      0.717u      0.067s      0.254w     24 calls
| SAD Guess                         :      0.717u      0.067s      0.242w     21 calls
HF: Form G                          :      0.300u      0.000s      0.047w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.267u      0.000s      0.043w    208 calls
| | DFH: compute_JK()               :      0.267u      0.000s      0.043w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.267u      0.000s      0.034w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.300u      0.017s      0.104w    187 calls
| DIISManager::add_entry            :      0.033u      0.000s      0.013w    184 calls
| DIISManager::extrapolate          :      0.050u      0.017s      0.009w    184 calls
| | bMatrix setup                   :      0.000u      0.017s      0.004w    184 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.002w    184 calls
| | New vector                      :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.150u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.567u      0.033s      0.475w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.000u      0.083s      0.628w     24 calls
| JKGrad: Amn                       :      0.483u      0.000s      0.173w     24 calls
| | Libint2ERI::Libint2ERI          :      0.317u      0.000s      0.085w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.367u      0.017s      0.100w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.133u      0.000s      0.036w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.983u      0.017s      0.287w     24 calls
| | Libint2ERI::Libint2ERI          :      0.183u      0.000s      0.085w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:13:33 2022
Timers Off: Wed Jul 20 14:13:42 2022

Wall Time:        8.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.167u      0.017s      0.083w     24 calls
Libint2ERI::Libint2ERI              :      0.800u      0.017s      0.272w    288 calls
DFH: initialize()                   :      0.883u      0.033s      0.292w     24 calls
DFH: AO Construction                :      0.167u      0.000s      0.072w     24 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.026w     24 calls
HF: Form core H                     :      0.100u      0.000s      0.029w     24 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w     24 calls
HF: Guess                           :      0.767u      0.033s      0.255w     24 calls
SAD Guess                           :      0.767u      0.033s      0.244w     21 calls
HF: Form G                          :      0.167u      0.000s      0.049w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.167u      0.000s      0.046w    208 calls
DFH: compute_JK()                   :      0.167u      0.000s      0.045w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.033u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.100u      0.000s      0.036w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.517u      0.050s      0.101w    187 calls
DIISManager::add_entry              :      0.083u      0.033s      0.010w    184 calls
DIISManager::extrapolate            :      0.017u      0.017s      0.008w    184 calls
bMatrix setup                       :      0.000u      0.017s      0.003w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.083u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.567u      0.017s      0.496w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.100s      0.635w     24 calls
JKGrad: Amn                         :      0.483u      0.000s      0.177w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.367u      0.017s      0.102w     24 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.083u      0.017s      0.036w     24 calls
JKGrad: Amnx                        :      0.950u      0.000s      0.289w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.167u      0.017s      0.083w     24 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.017s      0.055w     24 calls
DFH: initialize()                   :      0.883u      0.033s      0.292w     24 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.042w     72 calls
| DFH: AO Construction              :      0.167u      0.000s      0.072w     24 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.026w     24 calls
HF: Form core H                     :      0.100u      0.000s      0.029w     24 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w     24 calls
HF: Guess                           :      0.767u      0.033s      0.255w     24 calls
| SAD Guess                         :      0.767u      0.033s      0.244w     21 calls
HF: Form G                          :      0.167u      0.000s      0.049w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.167u      0.000s      0.046w    208 calls
| | DFH: compute_JK()               :      0.167u      0.000s      0.045w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.036w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.517u      0.050s      0.101w    187 calls
| DIISManager::add_entry            :      0.083u      0.033s      0.010w    184 calls
| DIISManager::extrapolate          :      0.017u      0.017s      0.008w    184 calls
| | bMatrix setup                   :      0.000u      0.017s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.083u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.567u      0.017s      0.496w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.100s      0.635w     24 calls
| JKGrad: Amn                       :      0.483u      0.000s      0.177w     24 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.000s      0.088w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.367u      0.017s      0.102w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.083u      0.017s      0.036w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.950u      0.000s      0.289w     24 calls
| | Libint2ERI::Libint2ERI          :      0.283u      0.000s      0.085w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 14:14:19 2022
Timers Off: Wed Jul 20 14:14:25 2022

Wall Time:        6.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.000s      0.083w     24 calls
Libint2ERI::Libint2ERI              :      0.917u      0.017s      0.269w    288 calls
